user_id,age,gender,occupation,work_mode,screen_time_hours,work_screen_hours,leisure_screen_hours,sleep_hours,sleep_quality_1_5,stress_level_0_10,productivity_0_100,exercise_minutes_per_week,social_hours_per_week,mental_wellness_index_0_100,
U0001,33,Female,Employed,Remote,10.79,5.44,5.35,6.63,1,9.3,44.7,127,0.7,9.3,
U0002,28,Female,Employed,In-person,7.4,0.37,7.03,8.05,3,5.7,78,74,2.1,56.2,
U0003,35,Female,Employed,Hybrid,9.78,1.09,8.69,6.48,1,9.1,51.8,67,8,3.6,
U0004,42,Male,Employed,Hybrid,11.13,0.56,10.57,6.89,1,10,37,0,5.7,0,
U0005,28,Male,Student,Remote,13.22,4.09,9.13,5.79,1,10,38.5,143,10.1,0,
U0006,28,Non-binary/Other,Self-employed,Hybrid,9.83,0.53,9.3,7.19,1,10,44,71,10.3,5,
U0007,42,Non-binary/Other,Retired,Remote,6.02,2.82,3.2,7.44,2,6.1,64.8,141,4.7,43.7,
U0008,36,Male,Employed,In-person,6.21,0.75,5.46,6.78,2,5.4,87,51,18.7,54.3,
U0009,26,Male,Student,In-person,6.28,0.67,5.61,8.48,4,1.6,91.7,149,10.1,86.8,
U0010,34,Male,Employed,Hybrid,9.37,0.84,8.53,7.78,2,10,42.2,50,12.7,10.7,
U0011,26,Male,Student,Remote,9.87,3.02,6.85,6.4,1,8.8,55.9,87,6.2,21.8,
U0012,26,Female,Unemployed,Hybrid,4.96,0.25,4.71,8.01,3,4.6,88.4,188,12.5,74.3,
U0013,31,Female,Student,Remote,12.55,6.8,5.75,6.96,1,10,33,139,11.3,0,
U0014,16,Female,Employed,Remote,7.86,4.33,3.53,7.59,2,6.3,70.7,102,8.6,40.9,
U0015,16,Male,Employed,Hybrid,9.07,0.79,8.28,5.54,1,10,53.2,0,0,10.7,
U0016,25,Male,Employed,Hybrid,13.49,2.82,10.67,7.13,1,10,37.6,284,2.8,0,
U0017,21,Female,Employed,In-person,8.86,0.82,8.04,6.53,1,10,60.3,223,13.1,10.5,
U0018,32,Male,Self-employed,Hybrid,7.13,0.82,6.31,7.06,1,7,49,167,11.6,29.5,
U0019,22,Male,Student,Hybrid,8.18,0.7,7.48,9.2,3,4.2,85.1,52,11.2,68.9,
U0020,18,Female,Student,Remote,10.26,5.73,4.53,6.98,1,9.4,52,82,1.5,10.8,
U0021,41,Female,Student,Remote,10.14,3.29,6.85,6.68,1,10,48.1,65,2.8,0,
U0022,28,Male,Unemployed,Remote,7.52,2.89,4.63,5.49,1,8.1,53.1,200,13.2,18.2,
U0023,30,Male,Self-employed,In-person,7.67,1.65,6.02,8.36,3,5.1,76.4,130,8.9,53.5,
U0024,18,Male,Employed,Remote,5.74,2.33,3.41,6.34,1,3.7,77.3,63,17.6,48.7,
U0025,25,Male,Employed,In-person,8.93,0.45,8.48,6.21,1,9.8,50.3,69,8.5,0.7,
U0026,30,Male,Employed,Hybrid,7.05,0.8,6.25,7.08,1,10,51,194,8.6,1.8,
U0027,20,Male,Student,Remote,11.3,5.17,6.13,7.74,2,10,53.3,197,7.4,4.6,
U0028,33,Male,Unemployed,In-person,6.61,0.33,6.28,8.06,2,7,60,227,3.5,42.8,
U0029,25,Male,Employed,Hybrid,7.43,0.73,6.7,7.11,2,7.6,61.1,164,0,28.9,
